STATION_NAME,PROJECT_NAME,TSS (mg/l),ACTIVITY_END_DATE
GML070-0004,2007 Corvallis,<10,6/5/2007 14:20
GML070-0004,2007 Corvallis,22,7/18/2007 11:00
GML080-0002,2007 Corvallis,<10,6/5/2007 12:00
GML080-0002,2007 Corvallis,<10,7/18/2007 9:00
GML080-0002,2007 Corvallis,<10,9/18/2007 14:30
GMU110-0004,2007 Corvallis,<10,6/19/2007 8:30
GMU110-0004,2007 Corvallis,32,7/30/2007 13:00
GMU110-0004,2007 Corvallis,19,10/2/2007 13:30
GMW-01-0003,2014 Corvallis,4,5/27/2014 14:15
GMW-01-0003,2014 Corvallis,3,7/7/2014 13:30
GMW-01-0003,2014 Corvallis,<1,9/29/2014 10:30
GMW010-0035,2007 Corvallis,24,6/20/2007 9:00
GMW010-0035,2007 Corvallis,<10,7/31/2007 10:30
GMW010-0035,2007 Corvallis,<10,10/3/2007 9:00
GMW-01-0004,2014 Corvallis,8,5/27/2014 15:30
GMW-01-0004,2014 Corvallis,4,7/7/2014 10:00
GMW-01-0004,2014 Corvallis,1,9/29/2014 12:30
GMW010-0041,2007 Corvallis,<10,6/20/2007 11:30
GMW010-0041,2007 Corvallis,<10,8/1/2007 9:00
GMW010-0041,2007 Corvallis,<10,10/3/2007 11:30
GMW010-0044,2015 Reference Sites,<5,4/27/2015 10:05
GMW010-0044,2015 Reference Sites,6,6/8/2015 10:10
GMW010-0044,2015 Reference Sites,<5,10/5/2015 11:00
GMW010-0044,2021-2022 Coolwater IBI,<2.5,4/18/2022 14:15
GMW010-0044,2021-2022 Coolwater IBI,9.4,7/19/2022 12:30
GMW010-0044,2021-2022 Coolwater IBI,<2.5,10/19/2022 12:15
GMW010-0044,2007 Corvallis,<10,6/18/2007 14:30
GMW010-0044,2007 Corvallis,<10,7/31/2007 15:30
GMW010-0044,2007 Corvallis,<10,10/1/2007 14:30
GMW010-0045,2007 Corvallis,<10,6/4/2007 13:00
GMW010-0045,2007 Corvallis,<10,8/1/2007 11:00
GMW010-0045,2007 Corvallis,<10,10/3/2007 14:30
GMW-01-0005,2014 Corvallis,3,5/19/2014 10:00
GMW-01-0005,2014 Corvallis,6,6/30/2014 12:15
GMW-01-0005,2014 Corvallis,3,10/7/2014 14:50
GMW-01-0006,2014 Corvallis,3,5/19/2014 10:45
GMW-01-0006,2014 Corvallis,10,6/30/2014 13:00
GMW-01-0006,2014 Corvallis,1,10/7/2014 16:30
GMW-02-0001,2014 Corvallis,8,5/19/2014 12:10
GMW-02-0001,2014 Corvallis,5,6/30/2014 13:45
GMW-02-0001,2014 Corvallis,<1,10/7/2014 11:00
GMW-02-0002,2014 Corvallis,5,5/19/2014 14:25
GMW-02-0002,2014 Corvallis,4,6/30/2014 17:30
GMW-02-0002,2014 Corvallis,3,10/6/2014 14:30
GMW020-0029,2007 Corvallis,<10,6/19/2007 14:20
GMW020-0029,2007 Corvallis,<10,7/26/2007 11:00
GMW020-0029,2007 Corvallis,<10,10/2/2007 10:00
GMW-02-0003,2014 Corvallis,2,5/19/2014 11:30
GMW-02-0003,2014 Corvallis,7,6/30/2014 14:40
GMW-02-0003,2014 Corvallis,2,10/7/2014 12:40
GMW020-0033,2007 Corvallis,<10,6/18/2007 12:00
GMW020-0033,2007 Corvallis,10,7/31/2007 13:00
GMW020-0033,2007 Corvallis,<10,10/1/2007 12:00
GMW020-0035,2015 Reference Sites,13,4/27/2015 15:30
GMW020-0035,2015 Reference Sites,8,6/8/2015 14:10
GMW020-0035,2015 Reference Sites,<5,10/7/2015 9:50
GMW020-0035,2007 Corvallis,<10,6/7/2007 11:20
GMW020-0035,2007 Corvallis,<10,7/25/2007 14:00
GMW020-0035,2007 Corvallis,<10,9/25/2007 14:30
GMW020-0036,2007 Corvallis,21,6/20/2007 15:00
GMW020-0036,2007 Corvallis,13,7/26/2007 9:00
GMW020-0036,2007 Corvallis,<10,10/2/2007 11:00
GMW-02-0004,2014 Corvallis,4,5/27/2014 13:00
GMW-02-0004,2014 Corvallis,5,7/7/2014 12:10
GMW-02-0004,2014 Corvallis,1,9/30/2014 16:30
GMW-02-0014,2015 Reference Sites,10,4/27/2015 10:35
GMW-02-0014,2015 Reference Sites,9,6/8/2015 11:20
GMW-02-0014,2015 Reference Sites,<5,10/5/2015 13:00
GMW030-0025,2018 Reference Sites,5,4/17/2018 16:40
GMW030-0025,2018 Reference Sites,131,5/22/2018 10:30
GMW030-0025,2018 Reference Sites,12,10/8/2018 12:20
GMW030-0025,2007 Corvallis,<10,6/7/2007 9:00
GMW030-0025,2007 Corvallis,<10,7/25/2007 16:00
GMW030-0025,2007 Corvallis,<10,9/25/2007 16:30
GMW030-0026,2007 Corvallis,<10,6/19/2007 10:30
GMW030-0026,2007 Corvallis,<10,7/30/2007 15:30
GMW030-0026,2007 Corvallis,<10,9/27/2007 9:00
GMW-03-0007,2014 Corvallis,1,5/27/2014 16:30
GMW-03-0007,2014 Corvallis,2,7/7/2014 14:30
GMW-03-0007,2014 Corvallis,<1,9/29/2014 14:50
GMW-03-0008,2014 Corvallis,6,5/21/2014 11:00
GMW-03-0008,2014 Corvallis,10,7/2/2014 9:30
GMW-03-0008,2014 Corvallis,10,10/6/2014 10:20
GMW-03-0009,2014 Corvallis,2,5/19/2014 15:10
GMW-03-0009,2014 Corvallis,8,6/30/2014 16:00
GMW-03-0009,2014 Corvallis,2,10/6/2014 12:20
GMW-03-0015,2014 Corvallis,3,5/27/2014 9:30
GMW-03-0015,2014 Corvallis,3,7/7/2014 15:45
GMW-03-0015,2014 Corvallis,<1,9/29/2014 16:20
GMW-04-0002,2014 Corvallis,230,5/12/2014 14:15
GMW-04-0002,2014 Corvallis,57,6/23/2014 11:15
GMW-04-0002,2014 Corvallis,2,9/23/2014 14:10
GMW-04-0003,2014 Corvallis,480,5/12/2014 13:15
GMW-04-0003,2014 Corvallis,51,6/23/2014 13:20
GMW-04-0003,2014 Corvallis,6,9/23/2014 15:30
GMW040-0036,2007 Corvallis,<10,6/6/2007 9:30
GMW040-0036,2007 Corvallis,<10,7/25/2007 11:00
GMW040-0036,2007 Corvallis,<10,9/25/2007 9:00
GMW-04-0004,2014 Corvallis,250,5/12/2014 15:30
GMW-04-0004,2014 Corvallis,53,6/23/2014 10:00
GMW-04-0004,2014 Corvallis,2,9/24/2014 9:40
GMW040-0040,2015 Reference Sites,<5,4/27/2015 14:35
GMW040-0040,2015 Reference Sites,<5,6/8/2015 13:10
GMW040-0040,2015 Reference Sites,<5,10/7/2015 11:30
GMW040-0040,2007 Corvallis,<10,6/6/2007 17:00
GMW040-0040,2007 Corvallis,<10,7/25/2007 9:00
GMW040-0040,2007 Corvallis,<10,9/25/2007 11:30
GMW040-0043,2018 Reference Sites,15,4/18/2018 11:00
GMW040-0043,2018 Reference Sites,18,5/23/2018 12:43
GMW040-0043,2018 Reference Sites,13,10/9/2018 10:40
GMW040-0043,2007 Corvallis,<10,6/6/2007 14:40
GMW040-0043,2007 Corvallis,<10,7/17/2007 10:20
GMW040-0043,2007 Corvallis,<10,9/24/2007 15:00
GMW040-0044,2007 Corvallis,<10,5/29/2007 15:30
GMW040-0044,2007 Corvallis,<10,7/16/2007 12:30
GMW040-0044,2007 Corvallis,<10,9/17/2007 11:00
GMW040-0045,2007 Corvallis,<10,6/6/2007 12:40
GMW040-0045,2007 Corvallis,<10,7/17/2007 8:30
GMW040-0045,2007 Corvallis,<10,9/24/2007 12:20
GMW-04-0005,2014 Corvallis,79,5/12/2014 16:30
GMW-04-0005,2014 Corvallis,2,6/23/2014 17:00
GMW-04-0005,2014 Corvallis,3,9/24/2014 8:10
GMW-04-0008,2014 Corvallis,150,5/12/2014 11:15
GMW-04-0008,2014 Corvallis,3,6/23/2014 14:10
GMW-04-0008,2014 Corvallis,1,9/23/2014 10:40
GMW-04-0012,2014 Corvallis,1100,5/12/2014 12:20
GMW-04-0012,2014 Corvallis,56,6/23/2014 16:10
GMW-04-0012,2014 Corvallis,2,9/23/2014 7:50
GMW-04-0013,2021-2022 Coolwater IBI,7.2,4/18/2022 10:10
GMW-04-0013,2021-2022 Coolwater IBI,16.3,7/19/2022 9:00
GMW-04-0013,2021-2022 Coolwater IBI,<2.5,10/19/2022 16:10
GMW-04-0013,2014 Corvallis,380,5/12/2014 9:55
GMW-04-0013,2014 Corvallis,3,6/23/2014 15:00
GMW-04-0013,2014 Corvallis,1,9/23/2014 12:10
GMW-04-0018,2013 Southern Whitewater River Watershed Baseline,<4,11/13/2013 11:15
GMW-04-0018,2013 Southern Whitewater River Watershed Baseline,<4,12/9/2013 10:50
GMW-04-0018,2013 Southern Whitewater River Watershed Baseline,73,1/13/2014 11:20
GMW-04-0018,2013 Southern Whitewater River Watershed Baseline,<4,2/17/2014 11:55
GMW-04-0018,2013 Southern Whitewater River Watershed Baseline,13,3/17/2014 13:10
GMW-04-0018,2013 Southern Whitewater River Watershed Baseline,8,4/21/2014 16:00
GMW-04-0018,2013 Southern Whitewater River Watershed Baseline,30,5/19/2014 15:00
GMW-04-0018,2013 Southern Whitewater River Watershed Baseline,15,6/16/2014 13:55
GMW-04-0018,2013 Southern Whitewater River Watershed Baseline,139,7/14/2014 15:25
GMW-04-0018,2013 Southern Whitewater River Watershed Baseline,74,8/11/2014 14:40
GMW-04-0018,2013 Southern Whitewater River Watershed Baseline,5,9/22/2014 13:30
GMW-04-0018,2013 Southern Whitewater River Watershed Baseline,<4,10/20/2014 13:35
GMW-04-0019,2015 Reference Sites,<5,4/27/2015 18:00
GMW-04-0019,2015 Reference Sites,38,6/10/2015 8:35
GMW-04-0019,2015 Reference Sites,<5,10/7/2015 13:10
GMW050-0006,2018 Reference Sites,<5,4/18/2018 9:30
GMW050-0006,2018 Reference Sites,6,5/21/2018 16:00
GMW050-0006,2018 Reference Sites,<5,10/9/2018 12:20
GMW-05-0001,2014 Corvallis,400,5/14/2014 7:30
GMW-05-0001,2014 Corvallis,10,6/25/2014 8:30
GMW-05-0001,2014 Corvallis,6,9/10/2014 8:20
GMW050-0016,2007 Corvallis,<10,5/24/2007 8:30
GMW050-0016,2007 Corvallis,<10,7/12/2007 8:40
GMW050-0016,2007 Corvallis,<10,9/13/2007 9:00
GMW050-0017,2007 Corvallis,<10,5/24/2007 10:40
GMW050-0017,2007 Corvallis,<10,7/12/2007 11:00
GMW050-0017,2007 Corvallis,<10,9/13/2007 11:30
GMW-05-0002,2014 Corvallis,3,5/14/2014 8:15
GMW-05-0002,2014 Corvallis,2,6/25/2014 10:00
GMW-05-0002,2014 Corvallis,<1,9/10/2014 9:50
GMW050-0023,2013 Southern Whitewater River Watershed Baseline,<4,4/21/2014 13:05
GMW050-0023,2013 Southern Whitewater River Watershed Baseline,4,5/19/2014 12:30
GMW050-0023,2013 Southern Whitewater River Watershed Baseline,4,6/16/2014 11:45
GMW050-0023,2013 Southern Whitewater River Watershed Baseline,35,7/14/2014 12:45
GMW050-0023,2013 Southern Whitewater River Watershed Baseline,26,8/11/2014 12:25
GMW050-0023,2013 Southern Whitewater River Watershed Baseline,<4,9/22/2014 11:30
GMW050-0023,2013 Southern Whitewater River Watershed Baseline,<4,10/20/2014 11:35
GMW-05-0006,2013 Southern Whitewater River Watershed Baseline,<4,4/21/2014 12:45
GMW-05-0006,2013 Southern Whitewater River Watershed Baseline,4,5/19/2014 12:10
GMW-05-0006,2013 Southern Whitewater River Watershed Baseline,<4,6/16/2014 11:25
GMW-05-0006,2013 Southern Whitewater River Watershed Baseline,86,7/14/2014 12:05
GMW-05-0006,2013 Southern Whitewater River Watershed Baseline,34,8/11/2014 12:00
GMW-05-0006,2013 Southern Whitewater River Watershed Baseline,5,9/22/2014 11:10
GMW-05-0006,2013 Southern Whitewater River Watershed Baseline,<4,10/20/2014 11:15
GMW-05-0007,2013 Southern Whitewater River Watershed Baseline,<4,11/13/2013 9:15
GMW-05-0007,2013 Southern Whitewater River Watershed Baseline,<4,12/9/2013 9:20
GMW-05-0007,2013 Southern Whitewater River Watershed Baseline,9,1/13/2014 9:15
GMW-05-0007,2013 Southern Whitewater River Watershed Baseline,<4,2/17/2014 9:55
GMW-05-0007,2013 Southern Whitewater River Watershed Baseline,<4,3/17/2014 9:50
GMW-05-0007,2013 Southern Whitewater River Watershed Baseline,<4,4/21/2014 10:35
GMW-05-0007,2013 Southern Whitewater River Watershed Baseline,5,5/19/2014 10:15
GMW-05-0007,2013 Southern Whitewater River Watershed Baseline,9,6/16/2014 9:45
GMW-05-0007,2013 Southern Whitewater River Watershed Baseline,23,7/14/2014 10:12
GMW-05-0007,2013 Southern Whitewater River Watershed Baseline,43,8/11/2014 9:35
GMW-05-0007,2013 Southern Whitewater River Watershed Baseline,13,9/22/2014 9:30
GMW-05-0007,2013 Southern Whitewater River Watershed Baseline,5,10/20/2014 9:25
GMW-05-0008,2013 Southern Whitewater River Watershed Baseline,<4,4/21/2014 14:45
GMW-05-0008,2013 Southern Whitewater River Watershed Baseline,4,5/19/2014 13:50
GMW-05-0008,2013 Southern Whitewater River Watershed Baseline,<4,6/16/2014 12:55
GMW-05-0008,2013 Southern Whitewater River Watershed Baseline,<4,7/14/2014 14:05
GMW-05-0008,2013 Southern Whitewater River Watershed Baseline,51,8/11/2014 13:40
GMW-05-0008,2013 Southern Whitewater River Watershed Baseline,<4,9/22/2014 12:45
GMW-05-0008,2013 Southern Whitewater River Watershed Baseline,<4,10/20/2014 12:45
GMW-05-0009,2013 Southern Whitewater River Watershed Baseline,<4,4/21/2014 11:35
GMW-05-0009,2013 Southern Whitewater River Watershed Baseline,<4,5/19/2014 11:10
GMW-05-0009,2013 Southern Whitewater River Watershed Baseline,<4,6/16/2014 10:30
GMW-05-0009,2013 Southern Whitewater River Watershed Baseline,21,7/14/2014 11:05
GMW-05-0009,2013 Southern Whitewater River Watershed Baseline,10,8/11/2014 10:33
GMW-05-0009,2013 Southern Whitewater River Watershed Baseline,<4,9/22/2014 10:15
GMW-05-0009,2013 Southern Whitewater River Watershed Baseline,<4,10/20/2014 10:15
GMW-05-0010,2013 Southern Whitewater River Watershed Baseline,<4,11/13/2013 10:25
GMW-05-0010,2013 Southern Whitewater River Watershed Baseline,<4,12/9/2013 10:20
GMW-05-0010,2013 Southern Whitewater River Watershed Baseline,29,1/13/2014 10:30
GMW-05-0010,2013 Southern Whitewater River Watershed Baseline,<4,2/17/2014 11:10
GMW-05-0010,2013 Southern Whitewater River Watershed Baseline,5,3/17/2014 12:20
GMW-05-0010,2013 Southern Whitewater River Watershed Baseline,6,4/21/2014 15:10
GMW-05-0010,2013 Southern Whitewater River Watershed Baseline,16,5/19/2014 14:25
GMW-05-0010,2013 Southern Whitewater River Watershed Baseline,13,6/16/2014 13:25
GMW-05-0010,2013 Southern Whitewater River Watershed Baseline,30,7/14/2014 14:48
GMW-05-0010,2013 Southern Whitewater River Watershed Baseline,27,8/11/2014 14:05
GMW-05-0010,2013 Southern Whitewater River Watershed Baseline,9,9/22/2014 13:15
GMW-05-0010,2013 Southern Whitewater River Watershed Baseline,12,10/20/2014 13:10
GMW-05-0011,2013 Southern Whitewater River Watershed Baseline,4,4/21/2014 12:15
GMW-05-0011,2013 Southern Whitewater River Watershed Baseline,8,5/19/2014 11:30
GMW-05-0011,2013 Southern Whitewater River Watershed Baseline,<4,6/16/2014 10:55
GMW-05-0011,2013 Southern Whitewater River Watershed Baseline,25,7/14/2014 11:35
GMW-05-0011,2013 Southern Whitewater River Watershed Baseline,17,8/11/2014 11:35
GMW-05-0011,2013 Southern Whitewater River Watershed Baseline,11,9/22/2014 10:50
GMW-05-0011,2013 Southern Whitewater River Watershed Baseline,12,10/20/2014 10:45
GMW-05-0012,2013 Southern Whitewater River Watershed Baseline,<4,4/21/2014 11:00
GMW-05-0012,2013 Southern Whitewater River Watershed Baseline,<4,5/19/2014 10:45
GMW-05-0012,2013 Southern Whitewater River Watershed Baseline,<4,6/16/2014 10:10
GMW-05-0012,2013 Southern Whitewater River Watershed Baseline,114,7/14/2014 10:40
GMW-05-0012,2013 Southern Whitewater River Watershed Baseline,9,8/11/2014 10:10
GMW-05-0012,2013 Southern Whitewater River Watershed Baseline,8,9/22/2014 9:50
GMW-05-0012,2013 Southern Whitewater River Watershed Baseline,<4,10/20/2014 9:50
GMW-05-0014,2013 Southern Whitewater River Watershed Baseline,4,4/21/2014 13:35
GMW-05-0014,2013 Southern Whitewater River Watershed Baseline,12,5/19/2014 12:55
GMW-05-0014,2013 Southern Whitewater River Watershed Baseline,12,6/16/2014 12:10
GMW-05-0014,2013 Southern Whitewater River Watershed Baseline,14,7/14/2014 13:10
GMW-05-0014,2013 Southern Whitewater River Watershed Baseline,12,8/11/2014 12:50
GMW-05-0014,2013 Southern Whitewater River Watershed Baseline,7,9/22/2014 11:55
GMW-05-0014,2013 Southern Whitewater River Watershed Baseline,<4,10/20/2014 12:00
GMW-05-0015,2013 Southern Whitewater River Watershed Baseline,<4,4/21/2014 14:10
GMW-05-0015,2013 Southern Whitewater River Watershed Baseline,5,5/19/2014 13:25
GMW-05-0015,2013 Southern Whitewater River Watershed Baseline,<4,6/16/2014 12:30
GMW-05-0015,2013 Southern Whitewater River Watershed Baseline,31,7/14/2014 13:40
GMW-05-0015,2013 Southern Whitewater River Watershed Baseline,17,8/11/2014 13:10
GMW-05-0015,2013 Southern Whitewater River Watershed Baseline,<4,9/22/2014 12:20
GMW-05-0015,2013 Southern Whitewater River Watershed Baseline,<4,10/20/2014 12:20
GMW060-0016,2007 Corvallis,11,5/23/2007 12:10
GMW060-0016,2007 Corvallis,<10,7/11/2007 9:10
GMW060-0016,2007 Corvallis,37,9/12/2007 16:00
GMW060-0018,2018 Reference Sites,44,4/17/2018 14:40
GMW060-0018,2018 Reference Sites,32,5/22/2018 14:15
GMW060-0018,2018 Reference Sites,11,10/9/2018 15:40
GMW060-0018,2007 Corvallis,10,6/21/2007 9:10
GMW060-0018,2007 Corvallis,13,7/23/2007 11:00
GMW060-0018,2007 Corvallis,14,9/18/2007 9:10
GMW-06-0002,2014 Corvallis,140,5/13/2014 14:00
GMW-06-0002,2014 Corvallis,100,6/24/2014 13:15
GMW-06-0002,2014 Corvallis,4,9/9/2014 10:10
GMW060-0021,2015 Reference Sites,<5,4/29/2015 11:45
GMW060-0021,2015 Reference Sites,21,6/10/2015 9:15
GMW060-0021,2015 Reference Sites,<5,10/6/2015 11:00
GMW060-0021,2007 Corvallis,<10,5/30/2007 9:10
GMW060-0021,2007 Corvallis,<10,7/16/2007 15:00
GMW060-0021,2007 Corvallis,<10,9/17/2007 14:00
GMW060-0022,2015 Reference Sites,6,4/29/2015 9:00
GMW060-0022,2015 Reference Sites,8,6/9/2015 18:05
GMW060-0022,2015 Reference Sites,<5,10/6/2015 8:50
GMW060-0022,2007 Corvallis,<10,5/23/2007 17:00
GMW060-0022,2007 Corvallis,<10,7/11/2007 17:00
GMW060-0022,2007 Corvallis,14,9/12/2007 11:20
GMW060-0027,2013 Southern Whitewater River Watershed Baseline,8,4/22/2014 9:00
GMW060-0027,2013 Southern Whitewater River Watershed Baseline,7,5/20/2014 8:15
GMW060-0027,2013 Southern Whitewater River Watershed Baseline,14,6/17/2014 8:15
GMW060-0027,2013 Southern Whitewater River Watershed Baseline,14,7/15/2014 8:10
GMW060-0027,2013 Southern Whitewater River Watershed Baseline,<4,10/21/2014 8:00
GMW-06-0003,2021-2022 Coolwater IBI,50.5,4/18/2022 11:30
GMW-06-0003,2021-2022 Coolwater IBI,10.7,7/19/2022 10:10
GMW-06-0003,2021-2022 Coolwater IBI,<2.5,10/19/2022 15:10
GMW-06-0003,2014 Corvallis,11,5/13/2014 14:40
GMW-06-0003,2014 Corvallis,15,6/24/2014 13:50
GMW-06-0003,2014 Corvallis,6,9/9/2014 11:40
GMW-06-0004,2014 Corvallis,140,5/13/2014 13:10
GMW-06-0004,2014 Corvallis,50,6/24/2014 15:45
GMW-06-0004,2014 Corvallis,2,9/22/2014 11:50
GMW-06-0005,2014 Corvallis,130,5/13/2014 12:15
GMW-06-0005,2014 Corvallis,130,6/24/2014 17:30
GMW-06-0005,2014 Corvallis,2,9/22/2014 14:20
GMW-06-0006,2014 Corvallis,2,5/13/2014 15:15
GMW-06-0006,2014 Corvallis,7,6/24/2014 14:45
GMW-06-0006,2014 Corvallis,2,9/9/2014 13:20
GMW-06-0012,2013 Southern Whitewater River Watershed Baseline,<4,11/13/2013 14:00
GMW-06-0012,2013 Southern Whitewater River Watershed Baseline,<4,12/9/2013 13:30
GMW-06-0012,2013 Southern Whitewater River Watershed Baseline,76,1/13/2014 14:15
GMW-06-0012,2013 Southern Whitewater River Watershed Baseline,<4,2/17/2014 14:20
GMW-06-0012,2013 Southern Whitewater River Watershed Baseline,10,3/17/2014 14:25
GMW-06-0012,2013 Southern Whitewater River Watershed Baseline,9,4/22/2014 12:45
GMW-06-0012,2013 Southern Whitewater River Watershed Baseline,40,5/20/2014 10:50
GMW-06-0012,2013 Southern Whitewater River Watershed Baseline,15,6/17/2014 11:00
GMW-06-0012,2013 Southern Whitewater River Watershed Baseline,52,7/15/2014 11:25
GMW-06-0012,2013 Southern Whitewater River Watershed Baseline,58,8/12/2014 11:15
GMW-06-0012,2013 Southern Whitewater River Watershed Baseline,5,9/23/2014 12:30
GMW-06-0012,2013 Southern Whitewater River Watershed Baseline,5,10/21/2014 10:35
GMW-06-0013,2013 Southern Whitewater River Watershed Baseline,4,4/22/2014 9:55
GMW-06-0013,2013 Southern Whitewater River Watershed Baseline,<4,5/20/2014 9:00
GMW-06-0013,2013 Southern Whitewater River Watershed Baseline,<4,6/17/2014 9:10
GMW-06-0013,2013 Southern Whitewater River Watershed Baseline,56,7/15/2014 9:20
GMW-06-0013,2013 Southern Whitewater River Watershed Baseline,<4,9/23/2014 8:40
GMW-06-0013,2013 Southern Whitewater River Watershed Baseline,<4,10/21/2014 9:15
GMW-06-0014,2013 Southern Whitewater River Watershed Baseline,10,4/22/2014 8:35
GMW-06-0014,2013 Southern Whitewater River Watershed Baseline,8,5/20/2014 8:30
GMW-06-0014,2013 Southern Whitewater River Watershed Baseline,9,6/17/2014 8:30
GMW-06-0014,2013 Southern Whitewater River Watershed Baseline,39,7/15/2014 8:35
GMW-06-0014,2013 Southern Whitewater River Watershed Baseline,<4,10/21/2014 8:15
GMW-06-0015,2013 Southern Whitewater River Watershed Baseline,<4,11/13/2013 13:05
GMW-06-0015,2013 Southern Whitewater River Watershed Baseline,<4,12/9/2013 12:30
GMW-06-0015,2013 Southern Whitewater River Watershed Baseline,12,1/13/2014 13:00
GMW-06-0015,2013 Southern Whitewater River Watershed Baseline,<4,2/17/2014 13:30
GMW-06-0015,2013 Southern Whitewater River Watershed Baseline,6,3/17/2014 11:00
GMW-06-0015,2013 Southern Whitewater River Watershed Baseline,16,4/22/2014 10:50
GMW-06-0015,2013 Southern Whitewater River Watershed Baseline,17,5/20/2014 9:40
GMW-06-0015,2013 Southern Whitewater River Watershed Baseline,17,6/17/2014 9:45
GMW-06-0015,2013 Southern Whitewater River Watershed Baseline,28,7/15/2014 9:50
GMW-06-0015,2013 Southern Whitewater River Watershed Baseline,37,8/12/2014 9:40
GMW-06-0015,2013 Southern Whitewater River Watershed Baseline,21,9/23/2014 9:15
GMW-06-0015,2013 Southern Whitewater River Watershed Baseline,16,10/21/2014 9:45
GMW-06-0020,2013 Southern Whitewater River Watershed Baseline,5,4/22/2014 9:30
GMW-06-0020,2013 Southern Whitewater River Watershed Baseline,4,5/20/2014 8:45
GMW-06-0020,2013 Southern Whitewater River Watershed Baseline,4,6/17/2014 8:50
GMW-06-0020,2013 Southern Whitewater River Watershed Baseline,29,7/15/2014 8:55
GMW-06-0020,2013 Southern Whitewater River Watershed Baseline,19,8/12/2014 8:40
GMW-06-0020,2013 Southern Whitewater River Watershed Baseline,4,9/23/2014 8:20
GMW-06-0020,2013 Southern Whitewater River Watershed Baseline,<4,10/21/2014 8:45
GMW-06-0022,2013 Southern Whitewater River Watershed Baseline,29,4/21/2014 16:40
GMW-06-0022,2013 Southern Whitewater River Watershed Baseline,42,5/19/2014 15:25
GMW-06-0022,2013 Southern Whitewater River Watershed Baseline,65,6/16/2014 14:30
GMW-06-0022,2013 Southern Whitewater River Watershed Baseline,380,7/14/2014 16:00
GMW-06-0022,2013 Southern Whitewater River Watershed Baseline,186,8/11/2014 15:05
GMW-06-0022,2013 Southern Whitewater River Watershed Baseline,56,9/22/2014 13:50
GMW-06-0022,2013 Southern Whitewater River Watershed Baseline,62,10/20/2014 14:00
GMW-06-0023,2021-2022 Coolwater IBI,4,4/14/2021 8:40
GMW-06-0023,2021-2022 Coolwater IBI,13,6/16/2021 9:35
GMW-06-0023,2021-2022 Coolwater IBI,<2.5,11/1/2021 10:15
GMW070-0080,2018 Reference Sites,10,4/17/2018 10:45
GMW070-0080,2018 Reference Sites,5,5/22/2018 11:30
GMW070-0080,2018 Reference Sites,<5,10/8/2018 16:50
GMW070-0080,2007 Corvallis,<10,5/31/2007 9:30
GMW070-0080,2007 Corvallis,<10,7/17/2007 13:30
GMW070-0080,2007 Corvallis,<10,9/20/2007 9:00
GMW070-0082,2018 Reference Sites,33,4/17/2018 11:30
GMW070-0082,2018 Reference Sites,20,5/22/2018 12:45
GMW070-0082,2018 Reference Sites,9,10/9/2018 8:50
GMW070-0082,2007 Corvallis,32,6/20/2007 18:00
GMW070-0082,2007 Corvallis,15,7/24/2007 10:00
GMW070-0082,2007 Corvallis,11,9/19/2007 17:00
GMW-07-0009,2014 Corvallis,11,5/20/2014 13:00
GMW-07-0009,2014 Corvallis,19,7/1/2014 12:00
GMW-07-0009,2014 Corvallis,<1,9/30/2014 14:10
GMW070-0091,2007 Corvallis,<10,5/23/2007 9:00
GMW070-0091,2007 Corvallis,<10,7/10/2007 16:10
GMW070-0091,2007 Corvallis,<10,9/11/2007 16:20
GMW070-0092,2007 Corvallis,<10,6/19/2007 17:30
GMW070-0092,2007 Corvallis,<10,7/24/2007 11:00
GMW070-0092,2007 Corvallis,14,9/26/2007 11:30
GMW070-0093,2007 Corvallis,<10,5/30/2007 13:00
GMW070-0093,2007 Corvallis,86,7/23/2007 13:30
GMW070-0093,2007 Corvallis,19,9/18/2007 11:00
GMW-07-0010,2014 Corvallis,2,5/20/2014 9:40
GMW-07-0010,2014 Corvallis,1,7/1/2014 15:00
GMW-07-0010,2014 Corvallis,<1,10/1/2014 10:10
GMW070-0100,2018 Reference Sites,<5,4/17/2018 13:30
GMW070-0100,2018 Reference Sites,34,5/22/2018 13:45
GMW070-0100,2007 Corvallis,<10,5/30/2007 15:20
GMW070-0100,2007 Corvallis,14,7/23/2007 15:30
GMW070-0100,2007 Corvallis,14,9/19/2007 9:00
GMW070-0101,2018 Reference Sites,13,4/17/2018 9:40
GMW070-0101,2018 Reference Sites,17,5/22/2018 9:00
GMW070-0101,2018 Reference Sites,<5,10/8/2018 14:40
GMW070-0101,2007 Corvallis,<10,6/5/2007 16:40
GMW070-0101,2007 Corvallis,<10,7/24/2007 16:30
GMW070-0101,2007 Corvallis,<10,9/26/2007 9:00
GMW070-0104,2007 Corvallis,<10,5/30/2007 17:30
GMW070-0104,2007 Corvallis,<10,7/18/2007 14:00
GMW070-0104,2007 Corvallis,15,9/19/2007 11:30
GMW070-0107,2021-2022 Coolwater IBI,4,4/18/2022 13:10
GMW070-0107,2021-2022 Coolwater IBI,25.9,7/19/2022 11:20
GMW070-0107,2021-2022 Coolwater IBI,<2.5,10/19/2022 14:00
GMW070-0107,2007 Corvallis,<10,5/31/2007 11:50
GMW070-0107,2007 Corvallis,<10,7/17/2007 15:40
GMW070-0107,2007 Corvallis,<10,9/19/2007 14:30
GMW070-0109,2007 Corvallis,<10,6/4/2007 16:10
