LSite,Date,Stream,12-Digit HUC,14-Digit HUC,LATITUDE_MEASURE,LONGITUDE_MEASURE,TAXA_COUNT
LMJ110-0080,26-Jul-05,Branch of Turkey Creek,040500011008,04050001110110,41.577691,-85.221598,44
LES040-0093,18-Jul-05,Bluhm Ditch,041000040407,04100004040080,40.786454,-84.960116,21
LEJ050-0064,20-Jul-05,West Branch Fish Creek,041000030401,04100003050020,41.62754,-84.824972,63
LMJ180-0046,25-Jul-05,Carrol Creek,040500011602,04050001180020,41.3227,-85.47682,38
LES060-0021,19-Jul-05,Saint Marys River,041000040602,04100004060010,40.945215,-85.084989,23
LEJ070-0027,13-Sep-05,Saint Joseph River,041000030803,04100003070040,41.262411,-84.940461,29
LMJ200-0054,25-Jul-05,Turkey Creek,040500011705,04050001200050,41.416889,-85.871402,27
LMG040-0008,18-Jul-05,Willow Creek,040400010509,04040001040030,41.567823,-87.190669,21
LEM010-0035,19-Jul-05,Black Creek,041000050104,04100005010110,41.18324589,-84.86970486,28
LMJ140-0028,26-Jul-05,Little Elkhart River,040500011204,04050001140040,41.64392849,-85.6477854,30
LMJ170-0077,25-Jul-05,Gretzinger Ditch,040500011506,04050001170070,41.437195,-85.34231,34
LMJ190-0025,25-Jul-05,Elkhart River,040500011802,04050001190020,41.46760082,-85.5997325,61
LEA120-0007,19-Jul-05,Flatrock Creek,041000071204,04100007120020,40.970454,-84.857557,33
LMJ230-0008,19-Jul-05,Baugo Creek,040500012104,04050001230040,41.64902307,-86.05601105,24
LMJ200-0051,25-Jul-05,Omar-Neff Ditch,040500011707,04050001200060,41.40189,-85.9012,30
LEJ090-0031,19-Jul-05,Cedar Creek,041000030707,04100003090030,41.258176,-85.131049,37
LMJ120-0040,12-Sep-05,Pigeon River,040500011103,04050001120010,41.693578,-85.307288,26
LMG030-0022,18-Jul-05,Deep River,040400010504,04040001030050,41.463922,-87.233299,27
LMJ210-0024,26-Jul-05,Rock Run Creek,040500011901,04050001210020,41.583522,-85.777096,35
LES040-0092,18-Jul-05,Fuch Ditch,041000040403,04100004040020,40.686453,-84.999289,60
LMJ230-0009,19-Jul-05,Grimes Ditch,040500012101,04050001230020,41.577768,-86.136966,27
LMJ190-0026,26-Jul-05,Stony Creek,040500011801,04050001190030,41.523678,-85.677753,31
LEJ080-0013,20-Jul-05,Tributary of Matson Ditch,041000030603,04100003080040,41.479698,-84.971327,36
LMJ160-0004,20-Jul-05,Christiana Creek,040500011403,04050001160060,41.695366,-85.980044,17
LES060-0020,19-Jul-05,Lowther Neuhaus Ditch,041000040605,04100004060060,41.103543,-85.162984,30
LMJ120-0041,26-Jul-05,Pigeon River,040500011106,04050001120050,41.715912,-85.427577,35
LMG070-0035,19-Jul-05,East Branch of Trail Creek,040400010104,04040001070010,41.70647704,-86.77067289,25
LEJ080-0014,25-Jul-05,Tributary of Leins Ditch,041000030601,04100003080010,41.480792,-85.13759,42
LMG070-0036,19-Jul-05,Tributary of Dingler Lake,040400010104,04040001070010,41.679395,-86.825549,14
LMJ120-0042,26-Jul-05,Pigeon River,040500011106,04050001120060,41.740613,-85.557945,45
LMJ240-0040,19-Jul-05,Eller Ditch,040500012203,04050001240010,41.66090666,-86.13584692,18
LMJ230-0010,25-Jul-05,Davidhizer Ditch,040500012102,04050001230010,41.511027,-85.982712,15
LEJ070-0026,13-Sep-05,Saint Joseph River,041000030803,04100003070040,41.244074,-84.974494,10
LMJ140-0029,26-Jul-05,Little Elkhart River,040500011205,04050001140070,41.716317,-85.742587,26
LEM010-0039,14-Sep-05,Maumee River,041000050102,04100005010010,41.078402,-85.086747,23
LMJ190-0028,26-Jul-05,Cromwell Ditch,040500011804,04050001190060,41.42725176,-85.65596237,16
LES050-0019,18-Jul-05,Saint Marys River,041000040504,04100004050040,40.894615,-85.007594,27
LEJ090-0033,14-Sep-05,Little Cedar Creek,041000030705,04100003090060,41.265507,-85.136884,35
OHP020-0007,01-Aug-05,Hurricane Creek,051402020101,05140202020030,38.208916,-87.542325,21
OBS140-0006,23-Aug-05,Blue River,051401040805,05140104140050,38.35200892,-86.27965626,23
OLP040-0006,02-Aug-05,Tributary of Neglie Creek,051402010102,05140201040060,37.95874743,-86.70083356,21
OBS080-0008,08-Aug-05,Indian Creek,051401040301,05140104080030,38.364097,-85.936711,19
OBS200-0006,15-Aug-05,Little Oil Creek,051401041202,05140104200080,38.09363931,-86.48552373,24
OML040-0008,01-Aug-05,South Hogan Creek,050902030402,05090203040070,39.075666,-85.117761,22
OBS010-0004,09-Aug-05,Mosquito Creek,051401040101,05140104010010,38.05245289,-85.99527557,35
OBS150-0020,19-Sep-05,Blue River,051401040905,05140104150060,38.189061,-86.311179,16
