ACTIVITY_NO,EVENT_NUM,STATION_NAME,COUNTY_NAME,WATERBODY_NAME,STATION_DESC,COMMON_NAME,FISH_COUNT,TOTAL WEIGHT (grams),MINIMUM LENGTH (millimeters),MAXIMUM LENGTH (millimeters),MUSEUM_FISH_COUNT,DEFORMITY_COUNT,FIN_EROSION_COUNT,LESION_COUNT,TUMOR_COUNT,MULTI_ANOMALY_COUNT,ANCHOR_WORMS_COUNT,LEECHES_COUNT,SWIRLED_SCALES_COUNT,POP_EYE_COUNT,EMACIATED_COUNT,FUNGUS_COUNT,PARASITES_COUNT
AB08426,12001,WPA-07-0001,Pike,Rough Creek,CR 925 S,Blackstripe Topminnow,4,5,32,65,0,,,,,,,,,,,,
AB08426,12001,WPA-07-0001,Pike,Rough Creek,CR 925 S,Bluegill,4,60,86,90,0,,,,,,,,,,,,
AB08426,12001,WPA-07-0001,Pike,Rough Creek,CR 925 S,Green Sunfish,3,130,76,134,0,,,,,,,,,,,,
AB08426,12001,WPA-07-0001,Pike,Rough Creek,CR 925 S,Longear Sunfish,5,200,57,165,0,,,,,,,,,,,,
AB08426,12001,WPA-07-0001,Pike,Rough Creek,CR 925 S,Redfin Pickerel,1,120,257,257,0,,,,,,,,,,,,
AB08426,12001,WPA-07-0001,Pike,Rough Creek,CR 925 S,Redspotted Sunfish,3,83,90,120,3,,,,,,,,,,,,
AB08426,12001,WPA-07-0001,Pike,Rough Creek,CR 925 S,Warmouth,2,20,73,85,0,,,,,,,,,,,,
AB08426,12001,WPA-07-0001,Pike,Rough Creek,CR 925 S,Yellow Bullhead,4,160,88,165,0,,,,,,,,,,,,
AB09762,12001.5,WPA-07-0001,Pike,Rough Creek,CR 925 S,Blackstripe Topminnow,6,10,45,59,0,,,,,,,,,,,,
AB09762,12001.5,WPA-07-0001,Pike,Rough Creek,CR 925 S,Bluegill,10,230,98,123,0,,,,,,,,,,,,
AB09762,12001.5,WPA-07-0001,Pike,Rough Creek,CR 925 S,Longear Sunfish,15,320,65,140,0,,,,,,,,,,,,
AB09762,12001.5,WPA-07-0001,Pike,Rough Creek,CR 925 S,Yellow Bullhead,1,40,145,145,0,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,Bigmouth Buffalo,6,8620,210,640,0,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,Blackside Darter,1,3,64,64,1,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,Bowfin,1,980,520,520,0,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,Channel Catfish,2,2860,161,627,0,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,Common Carp,4,11150,555,835,0,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,Flathead Catfish,1,320,324,324,0,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,Freshwater Drum,1,30,142,142,0,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,Gizzard Shad,5,500,180,271,0,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,Longear Sunfish,2,10,84,94,0,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,Orangespotted Sunfish,2,7,33,65,2,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,River Carpsucker,2,960,240,361,0,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,Silver Carp,3,4910,434,586,0,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,Smallmouth Buffalo,8,12920,300,640,0,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,Spotfin Shiner,1,1,41,41,1,,,,,,,,,,,,
AB08427,12002,WPA-06-0003,Pike,Patoka River,Meridian Road,Spotted Bass,1,3,64,64,1,,,,,,,,,,,,
AB08428,12003,WPA-02-0003,Dubois,Flat Creek,CR 500 E,Blackstripe Topminnow,114,95,32,69,6,,,,,,,,,,,,
AB08428,12003,WPA-02-0003,Dubois,Flat Creek,CR 500 E,Bluegill,15,380,85,140,0,,,,,,,,,,,,
AB08428,12003,WPA-02-0003,Dubois,Flat Creek,CR 500 E,Bluntnose Minnow,67,42,36,59,67,,,,,,,,,,,,
AB08428,12003,WPA-02-0003,Dubois,Flat Creek,CR 500 E,Brook Silverside,1,1,52,52,1,,,,,,,,,,,,
AB08428,12003,WPA-02-0003,Dubois,Flat Creek,CR 500 E,Central Stoneroller,18,19,36,54,18,,,,,,,,,,,,
AB08428,12003,WPA-02-0003,Dubois,Flat Creek,CR 500 E,Green Sunfish,4,60,20,132,0,,,,,,,,,,,,
AB08428,12003,WPA-02-0003,Dubois,Flat Creek,CR 500 E,Hornyhead Chub,1,20,155,155,0,,,,,,,,,,,,
AB08428,12003,WPA-02-0003,Dubois,Flat Creek,CR 500 E,Longear Sunfish,134,1260,28,139,0,,,,,,,,,,,,
AB08428,12003,WPA-02-0003,Dubois,Flat Creek,CR 500 E,Quillback,3,10,69,74,0,,,,,,,,,,,,
AB08428,12003,WPA-02-0003,Dubois,Flat Creek,CR 500 E,Redfin Shiner,1,1,37,37,1,,,,,,,,,,,,
AB08428,12003,WPA-02-0003,Dubois,Flat Creek,CR 500 E,Spotfin Shiner,10,4,30,56,10,,,,,,,,,,,,
AB08428,12003,WPA-02-0003,Dubois,Flat Creek,CR 500 E,Steelcolor Shiner,3,9,54,71,3,,,,,,,,,,,,
AB08428,12003,WPA-02-0003,Dubois,Flat Creek,CR 500 E,Striped Shiner,9,4,43,50,9,,,,,,,,,,,,
AB08428,12003,WPA-02-0003,Dubois,Flat Creek,CR 500 E,Western Creek Chubsucker,1,5,64,64,1,,,,,,,,,,,,
AB08428,12003,WPA-02-0003,Dubois,Flat Creek,CR 500 E,Yellow Bullhead,3,60,120,124,0,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Black Bullhead,1,90,173,173,0,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Black Crappie,2,50,104,135,0,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Blackstripe Topminnow,6,20,26,58,0,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Bluegill,3,20,72,156,0,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Bluntnose Minnow,1,4,63,63,0,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Creek Chub,4,10,42,56,0,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Golden Shiner,8,22,48,63,2,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Green Sunfish,6,60,60,70,0,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Longear Sunfish,35,450,58,115,0,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Orangethroat Darter,7,10,30,48,0,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Rainbow Darter,4,5,32,50,0,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Redfin Pickerel,2,110,186,217,0,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Rock Bass,1,6,65,65,0,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Slough Darter,53,31,25,48,1,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Spotfin Shiner,2,20,76,89,0,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Tadpole Madtom,7,30,60,92,0,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Western Mosquitofish,1,1,28,28,1,,,,,,,,,,,,
AB08429,12004,WPA-05-0002,Dubois,Flat Creek,CR 50 N,Yellow Bullhead,1,10,96,96,0,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Blackside Darter,1,4,68,68,1,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Blackstripe Topminnow,7,3,25,43,6,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Bluegill,17,182,31,130,4,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Bluntnose Minnow,153,116,30,71,153,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Brook Silverside,5,3,25,44,5,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Bullhead Minnow,76,106,27,72,68,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Central Stoneroller,1,3,59,59,1,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Channel Catfish,13,349,46,264,6,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Creek Chub,2,10,55,82,0,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Dusky Darter,14,120,41,104,7,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Emerald Shiner,1,1,34,34,1,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Freshwater Drum,2,2640,445,455,0,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Gizzard Shad,3,39,80,98,1,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Green Sunfish,2,40,67,83,0,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Longear Sunfish,65,688,33,130,9,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Mississippi Silvery Minnow,73,175,47,65,54,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Mottled Sculpin,2,2,40,41,0,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Mud Darter,5,30,41,53,0,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Redfin Pickerel,1,5,102,102,0,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Ribbon Shiner,34,16,28,61,34,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Slenderhead Darter,4,44,63,76,2,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Slough Darter,9,22,34,42,2,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Spotfin Shiner,60,133,27,94,42,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Spotted Bass,8,30,57,89,6,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Steelcolor Shiner,40,75,32,94,40,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Suckermouth Minnow,13,99,56,94,4,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Western Mosquitofish,4,3,27,36,4,,,,,,,,,,,,
AB08430,12007,WPA-04-0006,Dubois,Patoka River,CR 175 E,Yellow Bullhead,3,187,31,202,2,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Blackside Darter,1,10,64,64,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Blackstripe Topminnow,6,20,43,48,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Bluegill,4,40,32,72,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Bluntnose Minnow,140,100,40,78,109,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Brook Silverside,4,8,47,55,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Bullhead Minnow,29,20,36,55,29,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Central Stoneroller,2,30,92,105,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Channel Catfish,9,180,60,208,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Creek Chub,4,20,54,84,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Dusky Darter,10,60,46,119,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Emerald Shiner,1,1,41,41,1,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Flathead Catfish,1,30,132,132,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Gizzard Shad,1,30,104,104,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Green Sunfish,3,41,40,80,1,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Longear Sunfish,40,444,35,140,4,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Mississippi Silvery Minnow,18,50,42,75,8,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Mottled Sculpin,2,7,45,54,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Mud Darter,5,36,51,61,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Ribbon Shiner,24,11,35,49,24,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Slenderhead Darter,1,10,64,64,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Slough Darter,3,6,39,41,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Spotfin Shiner,17,62,30,94,8,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Spotted Bass,5,80,68,121,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Steelcolor Shiner,24,38,31,87,24,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Striped Shiner,1,4,90,90,1,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Suckermouth Minnow,12,40,62,80,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Tadpole Madtom,4,24,50,54,0,,,,,,,,,,,,
AB09763,12007.5,WPA-04-0006,Dubois,Patoka River,CR 175 E,Western Mosquitofish,17,20,30,46,0,,,,,,,,,,,,
AB08431,12008,WPA-04-0007,Dubois,Polson Creek,Celestine Road,Blackstripe Topminnow,56,20,22,65,0,,,,,,,,,,,,
AB08431,12008,WPA-04-0007,Dubois,Polson Creek,Celestine Road,Bluntnose Minnow,7,1,22,26,0,,,,,,,,,,,,
AB08431,12008,WPA-04-0007,Dubois,Polson Creek,Celestine Road,Brook Silverside,1,1,41,41,0,,,,,,,,,,,,
AB08431,12008,WPA-04-0007,Dubois,Polson Creek,Celestine Road,Creek Chub,3,2,27,50,0,,,,,,,,,,,,
AB08431,12008,WPA-04-0007,Dubois,Polson Creek,Celestine Road,Longear Sunfish,2,2,35,36,0,,,,,,,,,,,,
AB08431,12008,WPA-04-0007,Dubois,Polson Creek,Celestine Road,Spotted Bass,1,2,58,58,0,,,,,,,,,,,,
AB08431,12008,WPA-04-0007,Dubois,Polson Creek,Celestine Road,Western Mosquitofish,3,2,22,44,0,,,,,,,,,,,,
AB08433,12011,WPA-02-0004,Dubois,Straight River,CR 100 W,Blackstripe Topminnow,1,1,30,30,0,,,,,,,,,,,,
AB08433,12011,WPA-02-0004,Dubois,Straight River,CR 100 W,Bluntnose Minnow,49,50,23,51,0,,,,,,,,,,,,
AB08433,12011,WPA-02-0004,Dubois,Straight River,CR 100 W,Central Stoneroller,39,51,34,56,1,,,,,,,,,,,,
AB08433,12011,WPA-02-0004,Dubois,Straight River,CR 100 W,Creek Chub,34,53,32,55,2,,,,,,,,,,,,
AB08433,12011,WPA-02-0004,Dubois,Straight River,CR 100 W,Longear Sunfish,1,20,102,102,0,,,,,,,,,,,,
AB08433,12011,WPA-02-0004,Dubois,Straight River,CR 100 W,Mississippi Silvery Minnow,4,4,38,46,4,,,,,,,,,,,,
AB08433,12011,WPA-02-0004,Dubois,Straight River,CR 100 W,Ribbon Shiner,8,3,24,36,8,,,,,,,,,,,,
AB08433,12011,WPA-02-0004,Dubois,Straight River,CR 100 W,Silverjaw Minnow,42,42,25,53,4,,,,,,,,,,,,
AB08433,12011,WPA-02-0004,Dubois,Straight River,CR 100 W,Spotfin Shiner,31,9,24,56,31,,,,,,,,,,,,
AB08433,12011,WPA-02-0004,Dubois,Straight River,CR 100 W,Striped Shiner,1,2,48,48,1,,,,,,,,,,,,
AB08433,12011,WPA-02-0004,Dubois,Straight River,CR 100 W,Western Mosquitofish,61,41,15,42,3,,,,,,,,,,,,
AB08434,12012,WPA-03-0001,Dubois,Hunley Creek,CR 850 S,Blackstripe Topminnow,53,70,23,63,0,,,,,,,,,,,,
AB08434,12012,WPA-03-0001,Dubois,Hunley Creek,CR 850 S,Bluntnose Minnow,9,10,32,39,0,,,,,,,,,,,,
AB08434,12012,WPA-03-0001,Dubois,Hunley Creek,CR 850 S,Central Stoneroller,3,3,43,47,0,,,,,,,,,,,,
AB08434,12012,WPA-03-0001,Dubois,Hunley Creek,CR 850 S,Creek Chub,3,30,34,57,0,,,,,,,,,,,,
AB08434,12012,WPA-03-0001,Dubois,Hunley Creek,CR 850 S,Pirate Perch,2,10,50,95,0,,,,,,,,,,,,
AB08434,12012,WPA-03-0001,Dubois,Hunley Creek,CR 850 S,Striped Shiner,6,10,47,63,0,,,,,,,,,,,,
AB08434,12012,WPA-03-0001,Dubois,Hunley Creek,CR 850 S,Western Creek Chubsucker,1,1,48,48,0,,,,,,,,,,,,
AB08434,12012,WPA-03-0001,Dubois,Hunley Creek,CR 850 S,Western Mosquitofish,15,40,18,42,0,,,,,,,,,,,,
AB08434,12012,WPA-03-0001,Dubois,Hunley Creek,CR 850 S,Yellow Bullhead,8,110,42,125,0,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Blackstripe Topminnow,5,4,37,48,5,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Bluegill,5,41,52,113,1,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Bluntnose Minnow,5,2,39,46,5,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Bullhead Minnow,1,1,45,45,1,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Common Carp,7,21560,485,690,0,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Flier,1,2,59,59,1,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Gizzard Shad,6,160,51,203,0,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Golden Shiner,1,4,85,85,1,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Green Sunfish,2,40,75,82,0,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Longear Sunfish,6,40,37,82,0,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Orangespotted Sunfish,6,10,41,64,0,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Ribbon Shiner,8,5,42,45,8,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Shortnose Gar,1,320,470,470,0,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Smallmouth Buffalo,4,5740,262,620,0,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Spotfin Shiner,3,2,43,54,3,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Steelcolor Shiner,9,4,36,60,9,,,,,,,,,,,,
AB08435,12015,WPA-04-0003,Dubois,Patoka River,CR 600 W,Western Mosquitofish,42,16,23,43,42,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Blackside Darter,11,83,66,85,6,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Blackstripe Topminnow,14,19,23,70,11,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Bluegill,3,50,20,111,0,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Bluntnose Minnow,991,598,22,85,977,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Central Stoneroller,7,12,43,62,7,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Creek Chub,81,420,42,142,52,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Green Sunfish,3,90,58,107,0,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Largemouth Bass,1,1,32,32,1,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Longear Sunfish,11,150,49,139,0,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Mississippi Silvery Minnow,10,55,80,93,10,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Orangespotted Sunfish,4,6,22,59,4,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Pirate Perch,7,42,45,60,1,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Redfin Pickerel,3,30,108,132,0,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Redfin Shiner,153,62,20,71,153,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Ribbon Shiner,56,16,17,60,56,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Silverjaw Minnow,439,358,28,74,434,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Slough Darter,10,8,34,45,10,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Spotfin Shiner,12,24,47,82,12,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Spotted Sucker,10,14,38,64,10,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Steelcolor Shiner,18,72,45,91,18,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Striped Shiner,4,92,48,142,1,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Suckermouth Minnow,3,16,71,80,3,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Tadpole Madtom,1,1,33,33,1,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Western Creek Chubsucker,5,10,47,58,5,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Western Mosquitofish,93,22,20,40,93,,,,,,,,,,,,
AB08436,12016,WPA-03-0006,Dubois,Hunley Creek,CR 660 S,Yellow Bullhead,9,41,26,113,8,,,,,,,,,,,,
AB08437,12017,WPA-07-0002,Gibson,South Fork Patoka River,CR 25 S,Blackstripe Topminnow,2,2,50,65,0,,,,,,,,,,,,
AB08437,12017,WPA-07-0002,Gibson,South Fork Patoka River,CR 25 S,Bluegill,5,120,65,120,0,,,,,,,,,,,,
AB08437,12017,WPA-07-0002,Gibson,South Fork Patoka River,CR 25 S,Freshwater Drum,1,50,380,380,0,,,,,,,,,,,,
AB08437,12017,WPA-07-0002,Gibson,South Fork Patoka River,CR 25 S,Gizzard Shad,3,25,150,180,0,,,,,,,,,,,,
AB08437,12017,WPA-07-0002,Gibson,South Fork Patoka River,CR 25 S,Green Sunfish,2,18,65,85,0,,,,,,,,,,,,
AB08437,12017,WPA-07-0002,Gibson,South Fork Patoka River,CR 25 S,Largemouth Bass,4,940,60,360,0,,,,,,,,,,,,
AB08437,12017,WPA-07-0002,Gibson,South Fork Patoka River,CR 25 S,Longear Sunfish,10,140,70,130,0,,,,,,,,,,,,
AB08437,12017,WPA-07-0002,Gibson,South Fork Patoka River,CR 25 S,Western Mosquitofish,6,3,20,40,0,,,,,,,,,,,,
AB08438,12018,WPA-04-0008,Dubois,Polson Creek,Jasper Dubois Road,Blackstripe Topminnow,21,30,25,68,0,,,,,,,,,,,,
AB08438,12018,WPA-04-0008,Dubois,Polson Creek,Jasper Dubois Road,Bluegill,2,90,130,144,0,,,,,,,,,,,,
AB08438,12018,WPA-04-0008,Dubois,Polson Creek,Jasper Dubois Road,Bluntnose Minnow,22,8,30,42,0,,,,,,,,,,,,
AB08438,12018,WPA-04-0008,Dubois,Polson Creek,Jasper Dubois Road,Longear Sunfish,20,230,41,142,0,,,,,,,,,,,,
AB08438,12018,WPA-04-0008,Dubois,Polson Creek,Jasper Dubois Road,Pirate Perch,1,1,53,53,0,,,,,,,,,,,,
AB08438,12018,WPA-04-0008,Dubois,Polson Creek,Jasper Dubois Road,Spotted Bass,2,30,51,64,0,,,,,,,,,,,,
AB08438,12018,WPA-04-0008,Dubois,Polson Creek,Jasper Dubois Road,Yellow Bullhead,5,10,47,115,0,,,,,,,,,,,,
AB08439,12021,WPA-06-0005,Pike,Patoka River,SR 61,Bigmouth Buffalo,4,6310,260,603,0,,,,,,,,,,,,
AB08439,12021,WPA-06-0005,Pike,Patoka River,SR 61,Black Crappie,1,190,245,245,0,,,,,,,,,,,,
