ACTIVITY_RID,EVENT_NUM,METRIC_NAME,METRIC_VALUE
10129845,16R032,CARNIVORE_PERCENT,14.04
10096724,15R004,CARNIVORE_PERCENT,0.56
10129852,16R039,CARNIVORE_PERCENT,0
10096817,15T015,CARNIVORE_PERCENT,0
10092670,14T120,CARNIVORE_PERCENT,4.82
10130543,16029.5,CARNIVORE_PERCENT,0.24
10091342,14017,CARNIVORE_PERCENT,5.06
10080567,12T014,CARNIVORE_PERCENT,0
10097982,15033.5,CARNIVORE_PERCENT,1.68
10091363,14005,CARNIVORE_PERCENT,3.83
10097546,15055,CARNIVORE_PERCENT,8.18
10087494,13035.5,CARNIVORE_PERCENT,0.64
10081904,12T064,CARNIVORE_PERCENT,4.06
10080574,12T018,CARNIVORE_PERCENT,3.13
10129848,16R035,CARNIVORE_PERCENT,6.51
10085347,13W003,CARNIVORE_PERCENT,3.33
10080575,12T017,CARNIVORE_PERCENT,0
10081895,12T055,CARNIVORE_PERCENT,11.64
10091366,14043,CARNIVORE_PERCENT,4.55
10091359,14013,CARNIVORE_PERCENT,0
10092662,14T130,CARNIVORE_PERCENT,2.31
10080585,12T001,CARNIVORE_PERCENT,24.43
10080573,12T020,CARNIVORE_PERCENT,11.54
10085361,13W001,CARNIVORE_PERCENT,10.26
10096816,15T014,CARNIVORE_PERCENT,1.36
10097511,15R025,CARNIVORE_PERCENT,8.85
10129863,16043,CARNIVORE_PERCENT_METRIC,1
10102117,16T019,CARNIVORE_PERCENT_METRIC,5
10129894,16040,CARNIVORE_PERCENT_METRIC,1
10096758,15R021,CARNIVORE_PERCENT_METRIC,1
10129877,16030,CARNIVORE_PERCENT_METRIC,3
10091371,14049,CARNIVORE_PERCENT_METRIC,1
10129973,16W007,CARNIVORE_PERCENT_METRIC,1
10129847,16R034,CARNIVORE_PERCENT_METRIC,1
10135129,17017,CARNIVORE_PERCENT_METRIC,5
10102110,16T012,CARNIVORE_PERCENT_METRIC,5
10096843,15T008,CARNIVORE_PERCENT_METRIC,3
10102115,16T017,CARNIVORE_PERCENT_METRIC,3
10129892,16022,CARNIVORE_PERCENT_METRIC,1
10135123,17005,CARNIVORE_PERCENT_METRIC,5
10096728,15R009,CARNIVORE_PERCENT_METRIC,1
10129886,16053,CARNIVORE_PERCENT_METRIC,1
10092095,14T016,CARNIVORE_PERCENT_METRIC,1
10135138,17016,CARNIVORE_PERCENT_METRIC,5
10129883,16042,CARNIVORE_PERCENT_METRIC,1
10097650,15009,CARNIVORE_PERCENT_METRIC,1
10097649,15021,CARNIVORE_PERCENT_METRIC,1
10129839,16R044,CARNIVORE_PERCENT_METRIC,1
10080558,12T047,CARNIVORE_PERCENT_METRIC,1
10129851,16R038,CARNIVORE_PERCENT_METRIC,5
10081892,12T052,CARNIVORE_PERCENT_METRIC,5
10097544,15045,CARNIVORE_PERCENT_METRIC,3
10129858,16028,CARNIVORE_PERCENT_METRIC,5
10091365,14041,CARNIVORE_PERCENT_METRIC,3
10091364,14029,CARNIVORE_PERCENT_METRIC,5
10102112,16T014,CARNIVORE_PERCENT_METRIC,1
10129833,16R048,CARNIVORE_PERCENT_METRIC,3
10129840,16R043,CARNIVORE_PERCENT_METRIC,3
10135155,17048,CARNIVORE_PERCENT_METRIC,5
10102121,16T023,CARNIVORE_PERCENT_METRIC,5
10135152,17030,CARNIVORE_PERCENT_METRIC,1
10092090,14T006,CARNIVORE_PERCENT_METRIC,3
10138327,17N018.5,CARNIVORE_PERCENT_METRIC,1
10135124,17003,CARNIVORE_PERCENT_METRIC,1
10091356,14016,CARNIVORE_PERCENT_METRIC,1
10135146,17040,CARNIVORE_PERCENT_METRIC,1
10096725,15R012,CARNIVORE_PERCENT_METRIC,1
10129889,16025,CARNIVORE_PERCENT_METRIC,1
10097984,15035.5,CARNIVORE_PERCENT_METRIC,1
10085834,13017,CARNIVORE_PERCENT_METRIC,1
10135154,17049,CARNIVORE_PERCENT_METRIC,1
10135128,17008,CARNIVORE_PERCENT_METRIC,5
10097542,15035,CARNIVORE_PERCENT_METRIC,5
10129887,16050,CARNIVORE_PERCENT_METRIC,3
10135149,17035,CARNIVORE_PERCENT_METRIC,5
10102124,16T026,CARNIVORE_PERCENT_METRIC,1
10097654,15044,CARNIVORE_PERCENT_METRIC,3
10129893,16026,CARNIVORE_PERCENT_METRIC,1
10102106,16T008,CARNIVORE_PERCENT_METRIC,5
