"uid"	"comid"	"lat.dd83"	"lon.dd83"
2013222	2214044	31.11972121	-86.15248721
2012891	21456608	32.22869149	-87.14827743
2013188	21456608	32.22869149	-87.14827743
2014013	2400367	31.6553882	-86.71585127
2013267	18522613	30.69484743	-87.92434568
2014045	2213454	31.41142284	-86.0645204
2012830	18567421	33.58483101	-87.0957233
2014657	21640704	31.741665	-88.09560019
2014097	21658294	33.01342379	-87.08607699
2013205	21457368	31.88017609	-86.78361624
2013562	18645528	33.79484737	-87.85932001
